
; Gameboy Instruction Table
; By David Phillips

; "" -- no argument
; *  -- 8 or 16 bit value
; !  -- bit value (multiplied by 8)
; @  -- relative value (determined by PC)

;Inst Args Opcode Bytes Time

LD   H,(HL)  66   1   2
LD   H,[HL]  66   1   2
LD   H,A     67   1   1
LD   H,B     60   1   1
LD   H,C     61   1   1
LD   H,D     62   1   1
LD   H,E     63   1   1
LD   H,H     64   1   1
LD   H,L     65   1   1
LD   H,*     26   2   2
LD   A,A     7F   1   1
;LD   BC,(HL) 2B4F462A 4   7         ;  LDI A,(HL)|LD B,(HL)|LD C,A|DEC HL
;LD   BC,[HL] 2B4F462A 4   7         ;  LDI A,(HL)|LD B,(HL)|LD C,A|DEC HL
;LD   DE,(HL) 2B5F662A 4   7         ;  LDI A,(HL)|LD D,(HL)|LD E,A|DEC HL
;LD   DE,[HL] 2B5F662A 4   7         ;  LDI A,(HL)|LD D,(HL)|LD E,A|DEC HL
;LD   HL,(HL) 6F662A 3   7           ;  LDI A,(HL)|LD H,(HL)|LD L,A
;LD   HL,[HL] 6F662A 3   7           ;  LDI A,(HL)|LD H,(HL)|LD L,A
LD   HL,*    21   3   3
LD   L,(HL)  6E   1   2
LD   L,[HL]  6E   1   2
LD   L,A     6F   1   1
LD   L,B     68   1   1
LD   L,C     69   1   1
LD   L,D     6A   1   1
LD   L,E     6B   1   1
LD   L,H     6C   1   1
LD   L,L     6D   1   1
LD   L,*     2E   2   2
LD   SP,HL   F9   1   2
LD   SP,*    31   3   3

LDD  ""      1B123A 3   6      ;  LDD A,(HL)|LD (DE),A|DEC DE 

;LDD  A,(BC)  0B0A 2   4        ;  LD A,(BC)|DEC BC 
;LDD  A,[BC]  0B0A 2   4        ;  LD A,(BC)|DEC BC 
;LDD  (BC),A  0B02 2   4        ;  LD (BC),A|DEC BC 
;LDD  [BC],A  0B02 2   4        ;  LD (BC),A|DEC BC 
;LDD  A,(DE)  1B1A 2   4        ;  LD A,(DE)|DEC DE 
;LDD  A,[DE]  1B1A 2   4        ;  LD A,(DE)|DEC DE 
;LDD  (DE),A  1B12 2   4        ;  LD (DE),A|DEC DE 
;LDD  [DE],A  1B12 2   4        ;  LD (DE),A|DEC DE 
LDD  A,(HL)  3A   1   2        ;  LD A,(HL)|DEC HL 
LDD  A,[HL]  3A   1   2        ;  LD A,(HL)|DEC HL 
LDD  (HL),A  32   1   2        ;  LD (HL),A|DEC HL 
LDD  [HL],A  32   1   2        ;  LD (HL),A|DEC HL 

LDH  (C),A   E2   1   2        ;  LD ($FF00+C),A  
LDH  [C],A   E2   1   2        ;  LD ($FF00+C),A  
LDH  A,(C)   F2   1   2        ;  LD A,($FF00+C)  
LDH  A,[C]   F2   1   2        ;  LD A,($FF00+C)  
LDH  (*),A   E0   2   3        ;  LD ($FF00+*),A  
LDH  [*],A   E0   2   3        ;  LD ($FF00+*),A  
LDH  A,(*)   F0   2   3        ;  LD A,($FF00+*)  
LDH  A,[*]   F0   2   3        ;  LD A,($FF00+*)  

LDHL SP,*    F8   2   3        ; LD HL,SP+signed offset

;LDI  ""      13122A 3   6      ; LDI A,(HL)|LD (DE),A|INC DE 

;LDI  A,(BC)  030A 2   4        ;  LD A,(BC)|INC BC 
;LDI  A,[BC]  030A 2   4        ;  LD A,(BC)|INC BC 
;LDI  (BC),A  0302 2   4        ;  LD (BC),A|INC BC 
;LDI  [BC],A  0302 2   4        ;  LD (BC),A|INC BC 
;LDI  A,(DE)  131A 2   4        ;  LD A,(DE)|INC DE 
